SKU,DESCRIPCION,CANTIDAD,FALTANTE,MODELOS,IMAGEN,UBICADO EN
BC.EN.PP000601.02,FLEXIBLE FLAT CABLE CONNECTING LEFT V/SLOT,1,4,"M30 , M30T",,
BC.EN.PP000602.02,FLEXIBLE FLAT CABLE CONNECTION RIGHT VISION BOARD AND ADS - B,3,2,"M30 , M30T",Unable to load image data. Image may be missing or upload size may be too large for this device.,CAJA M30T
BC.EN.SS000553.01,FRAME ARM ADAPTER (M1),5,0,"M30 , M30T",Unable to load image data. Image may be missing or upload size may be too large for this device.,
BC.EN.SS000555.01,FRAME ARM ADAPTER (M3),8,0,"M30 , M30T",,
BC.EN.SS000556.01,FRAME ARM ADAPTER (M4),7,0,M30,Unable to load image data. Image may be missing or upload size may be too large for this device.,
YC.JG.ZS001807.04,FRAME ARM ADAPTER LOWER COVER (M1),4,1,M30,,
YC.JG.ZS001809.04,FRAME ARM ADAPTER LOWER COVER (M3),4,1,"M30 , M30T",,
YC.JG.ZS001810.05,FRAME ARM ADAPTER LOWER COVER (M4),2,,M30,,
YC.JG.ZS001804.05,FRAME ARM ADAPTER UPPER COVER (M2),1,,M30,,
YC.JG.ZS001805.05,FRAME ARM ADAPTER UPPER COVER (M3),5,0,"M30 , M30T",,
YC.JG.ZS001806.05,FRAME ARM ADAPTER UPPER COVER (M4),5,0,"M30 , M30T",,
YC.JG.ZS001623.07,FRAME ARM CARBON TUBE (M1),6,0,"M30 , M30T",,
YC.JG.ZS001626.06,FRAME ARM CARBON TUBE (M2),6,0,"M30 , M30T",,CAJA M30T
YC.JG.ZS001624.06,FRAME ARM CARBON TUBE (M3),5,0,"M30 , M30T",,
YC.JG.ZS001625.06,FRAME ARM CARBON TUBE (M4),6,0,"M30 , M30T",,
BC.EN.SS000614.01,FRAME ARM MODULE (M1),1,,M30,,
BC.EN.SS000512.01,FRAME ARM MODULE (M2),2,3,M30,,
BC.EN.SS000613.01,FRAME ARM MODULE (M3),4,,M30,,
BC.EN.SS000511.01,FRAME ARM MODULE (M4),5,0,"M30 , M30T",,
YC.JG.ZS001638.05,FRAME Y TEC (M1 & M2),4,1,"M30 , M30T",,
YC.JG.ZS001637.03,FRAME Y TEC (M3 & M4),4,1,"M30 , M30T",,
YC.JG.ZS001815.03,FRONT LANDING GEAR,2,3,"M30 , M30T",,
YC.JG.ZS001816.07,LOWER COVER REAR LANDING GEAR,1,,M30,,
YC.JG.YZ000391.08,LOWER HEAT SINK,2,3,"M30 , M30T",INVENTARIO_Images/YC.JG.YZ000391.08.IMAGEN.151438.jpg,CAJA M30T
YC.JG.ZS002014.03,FRAME ARM ADAPTER (M1),4,1,M30,INVENTARIO_Images/YC.JG.ZS002014.03.IMAGEN.144306.jpg,CAJA M30T
YC.DZ.AF000070.01,M30 /30T - FAN,6,0,"M30 , M30T",,CAJA M30T
YC.JG.ZS002015.03,M30 /M30T - FRAME ARM ADAPTER (M2),4,1,M30,,
YC.JG.ZS002016.04,M30 /M30T - FRAME ARM ADAPTER (M3),2,3,"M30 , M30T",,
YC.JG.ZS001803.05,M30 /M30T - Frame Arm Adapter Upper Cover (M1),2,,M30,,
YC.XC.DD000510.04,FRAME ARM POWER CABLE (M1),5,0,"M30 , M30T",INVENTARIO_Images/YC.XC.DD000510.04.IMAGEN.151718.jpg,CAJA M30T
YC.XC.DD000495.08,FRAME ARM POWER CABLE (M3 & M4),6,0,"M30 , M30T",INVENTARIO_Images/YC.XC.DD000495.08.IMAGEN.143637.jpg,CAJA M30T
YC.DZ.AA000273.03,M30 /M30T - Front Landing Gear Antenna Board (Right),1,,M30,,
YC.JG.ZS001975.05,MOTOR BASE LOWER COVER (M3 & M4),9,0,M30,INVENTARIO_Images/YC.JG.ZS001975.05.IMAGEN.152122.jpg,CAJA M30T
YC.JG.ZS001972.05,MOTOR BASE UPPER COVER (M1 & M2),14,0,"M30 , M30T",INVENTARIO_Images/YC.JG.ZS001972.05.IMAGEN.151214.jpg,CAJA M30T
YC.JG.ZS001974.05,MOTOR BASE UPPER COVER (M3 & M4),15,0,"M30 , M30T",INVENTARIO_Images/YC.JG.ZS001974.05.IMAGEN.144011.jpg,CAJA M30T
YC.JG.QX001625.03,PROPELLER CLIP,6,,M30,,
BC.EN.SS000685.01,PROPULSION MOTTOR (CCW),7,0,"M30 , M30T",INVENTARIO_Images/BC.EN.SS000685.01.IMAGEN.152234.jpg,CAJA M30T
BC.EN.SS000686.01,PROPULSION MOTTOR (CW),3,,M30,,
75563900185725,PTZ COAXIAL CABLE,2,3,"M30 , M30T",,
YC.JG.ZS002630.04,REAR LANDING GEAR COVER (LEFT),8,0,"M30 , M30T",INVENTARIO_Images/YC.JG.ZS002630.04.IMAGEN.143827.jpg,CAJA M30T
YC.JG.ZS002631.04,REAR LANDING GEAR COVER (RIGHT),5,0,"M30 , M30T",INVENTARIO_Images/YC.JG.ZS002631.04.IMAGEN.151335.jpg,CAJA M30T
