SKU,DESCRIPCION,CANTIDAD,FALTANTE,MODELOS,IMAGEN,UBICADO EN
YC.JG.MY000039.01,WATERPROOF RUBBER RING BETWEEN MOTOR COVER AND SDR ANTENNA BASE,30,0,"MATRICE 300 RTK , MATRICE 350 RTK",INVENTARIO_Images/YC.JG.MY000039.01.IMAGEN.173128.jpg,CAJA M300
BC.EN.PP000183.04,FLEXIBLE FLAT CABLE CONNECTING ADS - B BOAR AND CORE,8,0,"MATRICE 300 RTK , MATRICE 350 RTK",INVENTARIO_Images/BC.EN.PP000183.04.IMAGEN.205907.jpg,CAJA M300
BC.EN.SS000725.01,2110s PROPELLER (CCW),1,,MATRICE 350 RTK,,
BC.EN.SS000724.01,2110s PROPELLER (CW),2,,MATRICE 350 RTK,,
BC.EN.SS000647.01,AIRCRAFT LOWER SHELL MODULE,3,2,MATRICE 350 RTK,,CAJA M350
BC.EN.SS000640.01,AIRCRAFT UPPER SHELL MODULE,6,,MATRICE 350 RTK,,
BC.EN.SS000662.01,DOWNWARD GIMBAL VIBRATION DAMPING MODULE,3,2,MATRICE 350 RTK,,
YC.JG.YZ000705.02,ESC BOARD HEAT MODULE,3,2,MATRICE 350 RTK,INVENTARIO_Images/YC.JG.YZ000705.02.IMAGEN.191555.jpg,CAJA M350
BC.EN.SS000635.01,FRAME ARM CONNECTOR (M1),8,0,MATRICE 350 RTK,,CAJA M350
BC.EN.SS000636.01,FRAME ARM CONNECTOR (M2),6,0,MATRICE 350 RTK,,CAJA M350
BC.EN.SS000633.01,FRAME ARM CONNECTOR (M3),6,0,MATRICE 350 RTK,,CAJA M350
BC.EN.SS000634.01,FRAME ARM CONNECTOR (M4),7,0,MATRICE 350 RTK,,
BC.EN.SS000654.01,FRAME ARM LOCK MODULE,5,,MATRICE 350 RTK,,
YC.JG.ZS003661.04,LANDING GEAR CONNECTOR,4,1,MATRICE 350 RTK,,CAJA M350
YC.DZ.AA000344.01,LANDING GEAR SDR ANTENNA (M2),9,0,MATRICE 350 RTK,INVENTARIO_Images/YC.DZ.AA000344.01.IMAGEN.193048.jpg,CAJA M350
YC.JG.ZS003679.03,LEFT LANDING GEAR(M2),6,0,MATRICE 350 RTK,INVENTARIO_Images/YC.JG.ZS003679.03.IMAGEN.191427.jpg,CAJA M350
YC.DZ.AF000041.02,LOWER COVER FAN,13,,MATRICE 350 RTK,,
YC.JG.ZS003680.03,RIGHT LANDING GEAR (M1),5,0,MATRICE 350 RTK,,CAJA M350
YC.JG.ZS000036.03,SDR BOTOM PAD,0,,MATRICE 350 RTK,,
YC.DZ.AF000040.02,UPPER COVER FAN,5,,MATRICE 350 RTK,,
BC.EN.SS000848.01,AIRCRAFT MIDDLE FRAME ,1,,MATRICE 4E,,
BC.MA.PP001206.05,FPC (ESC BOARD),1,,MATRICE 4E,,
BC.EN.SS000857.01,FRONT LEFT ARM MODULE,1,,MATRICE 4E,,
YC.JG.ZS005105.07,GIMBEL LOWER VIBRATION ABSORBING BOARD,1,,MATRICE 4E,,
YC.JG.ZS005106.06,GIMBEL UPPER VIBRATION ABSORTING BOARD,2,,MATRICE 4E,,
BC.EN.SS000859.01,PEAR LEFT ARM MODULE,1,,MATRICE 4E,,
BC.EN.SS000860.01,PEAR RIGHT ARM MODULE,1,,MATRICE 4E,,
YC.JG.ZS005099.05,POLL ARM COVER,1,,MATRICE 4E,,
1562709194931,FLEXIBLE GIMBAL,1,,MAVIC 2,,
YC.WJ.CC000015.04,FRONT AIRCRAFT ARM SHEFT (LEFT),6,,MAVIC 2,,
YC.WJ.CC000014.04,FRONT ARM AXIS (RIGHT),5,,MAVIC 2,,
yc.sj.ws000434.08,FRONT ARM LOWER COVER (LEFT),4,,MAVIC 2,,
BC.MA.SS000366.01,FRONT ARM MODULE (LEFT) (RH),2,,MAVIC 2,,
BC.MA.SS000367.01,FRONT ARM MODULE (RIGHT) (RH),2,,MAVIC 2,,
yc.sj.ws000433.08,FRONT AXIS LOWER COVER (RIGHT),3,,MAVIC 2,,
YC.SJ.WS000423.08,GIMBAL MOUNTING COVER,3,,MAVIC 2,,
YC.WJ.CC000013.03,REAR ARM AXIS,6,,MAVIC 2,,
BC.EN.SS000106.01,UPPER COVER MODULE ,1,,MAVIC 2,,
BC.MA.SS000413.01,AIRCRAFT ARM MODULE (FRONT RIGHT),3,,MAVIC 3,,
BC.MA.SS000417.01,AIRCRAFT ARM MODULE (REAR RIGHT),3,,MAVIC 3,,
YC.JG.HG000010.03,AIRCRAFT ARM ROTATING AXIS (FRONT LEFT),2,,MAVIC 3,,
YC.JG.HG000008.03,AIRCRAFT ARM ROTATING AXIS (FRONT RIGHT),2,,MAVIC 3,,
YC.JG.HG000009.04,AIRCRAFT ARM ROTATING AXIS (REAR LEFT),1,,MAVIC 3,,
YC.JG.ZS001363.03,AIRCRAFT FRONT COVER,2,,MAVIC 3,,
BC.MA.PP000458.03,BATTERY IN-POSITION MODULE,1,,MAVIC 3,,
YC.JG.ZS001433.07,GIMBAL LOWER VIBRATION ABSORBING BOARD,3,,MAVIC 3,,
YC.JG.MY000436.04,GIMBAL RUBBER DAMPER,13,,MAVIC 3,,
YC.JG.ZS001436.07,GIMBAL UPPER VIBRATION ABSORBING BOARD,5,,MAVIC 3,,
75684379174564,PTZ COAXIAL CABLE,2,,MAVIC 3,,
BC.MA.SS000398.01,ESC BOARD MODULE,2,,"MAVIC 3, M3C",,
BC.MA.SS000414.01,AIRCRAFT ARM MODULE (FRONT LEFT),7,,"MAVIC 3, M3T",,
BC.MA.SS000416.01,AIRCRAFT ARM MODULE (REAL LEFT) ,5,,"MAVIC 3, M3T",,
BC.EN.SS000528.01,AIRCRAFT UPPER COVER MODULE,2,,"MAVIC 3, M3T",,
BC.EN.SS000534.01,AIRCRAFTREAR COVER MODULE,4,,"MAVIC 3, M3T",,
YC.DZ.AA000228.08,ANTENNA  (SHORT) (LEFT),4,,"MAVIC 3, M3T",,
YC.DZ.AA000229.07,ANTENNA (LONG) (RIGHT) ,5,,"MAVIC 3, M3T",,
BC.EN.PP000733.04,BEACON BOARD,3,,"MAVIC 3, M3T",,
